beer_image,beer_korname,beer_engname,beer_abv,beer_ibu,beer_srm,beer_kcal,nation_id,style_id,brewery_id,description,ounces
_kozelpremium.png,코젤 프리미엄,Kozel Premium,4.8,-1,-1,54,2,Czech Lager,73,,
_budweiser.png,버드와이저,Budweiser,5,-1,-1,40,3,American Adjunct Lager,74,,
_budweiserselect.png,버드와이저 셀렉트,Budweiser Select,4.3,-1,-1,28,3,Light Lager,74,,
_molsoncanadian.png,몰슨 캐네디언,Molson Canadian,5,-1,-1,144,4,American Adjunct Lager,72,,
_coronaextra.png,코로나 엑스트라,Corona Extra,4.6,-1,-1,148,5,American Adjunct Lager,70,,
_fosterslager.png,포스터스 라거,Foster's Lager,5,-1,-1,145,6,American Adjunct Lager,63,,
_steinlager.png,스테인 라거,Stein Lager,4.8,-1,-1,96,7,Euro Pale Lager,66,,
_southpacificlager.png,사우스 파시픽 라거,South Pacific Lager,4.5,-1,-1,-1,84,7,Euro Pale Lager,71,,
_gose.png,고제,Gose,4,-1,-1,142,3,Rotating,64,,
_kronenbier.png,크로넨 비어,Kronen Bier,0.5,-1,-1,43,9,Pilsener,60,,
_spatenmunchnerhell.png,스파텐 뮌헨 헬,Spaten Munchner Hell,5.2,-1,-1,210,10,Munich Helles Lager,61,,
_edelweissdunkelweissbier.png,에델바이스 둔켈 바이스비어,Edelweiss Dunkel Weissbier,5.5,-1,-1,260,11,Dunkelweizen,56,,
_flyinghorseroyallager.png,플라잉 홀스 로얄 라거,Flying Horse Royal Lager,4.7,-1,-1,269,12,American Pale Lager,65,,
_millergenuinedraft.png,밀러 지뉴인 드래프트,Miller Genuine Draft,4.7,-1,-1,119,3,American Adjunct Lager,55,,
_pilsnerurquell.png,필스너 우르켈,Pilsner Urquell,4.4,-1,-1,156,2,Czech Pilsener,57,,
_guinnessextrastout.png,기네스 엑스트라 스타우트,Guinness Extra Stout,6,-1,-1,122,13,Irish Dry Stout,59,,
_heineken.png,하이네켄,Heineken,5,-1,-1,250,14,Euro Pale Lager,62,,
_stella.png,스텔라,stella,4.5,-1,-1,290,15,Euro Pale Lager,69,,
_hefeweizen.png,헤페바이젠,Hefeweizen,4.7,-1,-1,208,3,Hefeweizen,68,,
_krombacher.png,크롬바커,krombacher,4.8,-1,-1,130,10,Germany Pilsener,67,,
_faxepremium.png,팍세 프리미엄,Faxe Premium,5,-1,-1,129,16,Euro Pale Lager,58,,
_kaiserdomkellerbier.png,카이저돔 켈러비어,Kaiserdom Kellerbier,4.7,-1,-1,141,10,Kellerbier / Zwickelbier,75,,
_kilkenny.png,킬케니,kilkenny,4.3,-1,-1,210,13,Irish Red Ale,76,,
_carlsberg.png,칼스버그,Carlsberg,5,-1,-1,114,16,Germany Pilsener,77,,
_weidmannhefeweissbier.png,바이드만 헤페바이스비어,Weidmann Hefeweissbier,5.3,-1,-1,123,14,Hefeweizen,78,,
_asahisuperdry.png,아사히 수퍼 드라이,Asahi Super Dry,5,-1,-1,126,17,Japanese Rice Lager,79,,
_kirinichiban.png,기린 이치방,Kirin Ichiban,5,-1,-1,145,17,American Pale Lager,80,,
_tsingtao.png,칭타오,Tsingtao,4.8,-1,-1,157,18,American Adjunct Lager,81,,